Name,Description,WLL,weight,pin diameter,bow diameter,inside length,bow inside diameter,visual,visual scale,,,
CA400,Crosby G-2140 / S-2140 anchor shackle 400t,400,500,184,184,572,330,res: Crosby_anchor_shackle_generic200t.obj,1.473684211,,,
CWB7,Crosby G-2160/ S-2160 Wide Body Shackle 7t,7,1.81,22.4,40.6,90.4,63.6,res: CWB_generic_800t.obj,0.113395349,,,
CWB12.5,Crosby G-2160/ S-2160 Wide Body Shackle 12.5t,12.5,4.54,28.7,54.1,118,82.8,res: CWB_generic_800t.obj,0.14827907,,,
CWB18,Crosby G-2160/ S-2160 Wide Body Shackle 18t,18,6.8,35.1,63.5,148,101.6,res: CWB_generic_800t.obj,0.183534884,,,
CWB30,Crosby G-2160/ S-2160 Wide Body Shackle 30t,30,11.34,41.4,79.5,176,127,res: CWB_generic_800t.obj,0.219953488,,,
CWB40,Crosby G-2160/ S-2160 Wide Body Shackle 40t,40,20.9,50.8,95.3,205,152.4,res: CWB_generic_800t.obj,0.258651163,,,
CWB55,Crosby G-2160/ S-2160 Wide Body Shackle 55t,55,32.21,57.2,114,238,177.8,res: CWB_generic_800t.obj,0.301023256,,,
CWB75,Crosby G-2160/ S-2160 Wide Body Shackle 75t,75,51,69.9,127,293,185,res: CWB_generic_800t.obj,0.364139535,,,
CWB125,Crosby G-2160/ S-2160 Wide Body Shackle 125t,125,87,80,150,365,220,res: CWB_generic_800t.obj,0.446511628,,,
CWB200,Crosby G-2160/ S-2160 Wide Body Shackle 200t,200,191,105,217,480,276,res: CWB_generic_800t.obj,0.59627907,,,
CWB300,Crosby G-2160/ S-2160 Wide Body Shackle 300t,300,365,133,264,600,320,res: CWB_generic_800t.obj,0.742790698,,,
CWB400,Crosby G-2160/ S-2160 Wide Body Shackle 400t,400,518,160,320,575,370,res: CWB_generic_800t.obj,0.758139535,,,
CWB500,Crosby G-2160/ S-2160 Wide Body Shackle 500t,500,653,180,340,630,450,res: CWB_generic_800t.obj,0.827906977,,,
CWB600,Crosby G-2160/ S-2160 Wide Body Shackle 600t,600,967,200,370,700,494,res: CWB_generic_800t.obj,0.91627907,,,
CWB700,Crosby G-2160/ S-2160 Wide Body Shackle 700t,700,1170,215,400,735,540,res: CWB_generic_800t.obj,0.969767442,,,
CWB800,Crosby G-2160/ S-2160 Wide Body Shackle 800t,800,1372,230,420,750,554,res: CWB_generic_800t.obj,1,,,
CWB900,Crosby G-2160/ S-2160 Wide Body Shackle 900t,900,1712,250,440,757,586,res: CWB_generic_800t.obj,1.025116279,,,
CWB1000,Crosby G-2160/ S-2160 Wide Body Shackle 1000t,1000,1850,270,460,760,616,res: CWB_generic_800t.obj,1.046511628,,,
CWB1250,Crosby G-2160/ S-2160 Wide Body Shackle 1250t,1250,2588,300,530,930,646,res: CWB_generic_800t.obj,1.251162791,,,
CWB1550,Crosby G-2160/ S-2160 Wide Body Shackle 1550t,1550,3650,320,580,1075,676,res: CWB_generic_800t.obj,1.418604651,,,
